date,state,total_cases,total_tests,daily_positive_7day_ma,daily_tests_7day_ma,positivity_rate_orig_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-02-29,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57143,3.71429,8.35714,5.57143,3.71429,8.35714,7.615980000000001e-06,5.077319999999999e-06,1.1424000000000001e-05,5.57143,3.71429,8.35714,7.615980000000001e-06,5.077319999999999e-06,1.1424000000000001e-05
2020-03-01,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92857,6.61905,14.8929,15.5,10.3333,23.25,2.1188e-05,1.41254e-05,3.17821e-05,15.5,10.3333,23.25,2.1188e-05,1.41254e-05,3.17821e-05
2020-03-02,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9048,8.60317,19.3571,28.4048,18.9365,42.6071,3.8828499999999996e-05,2.5885599999999998e-05,5.8242700000000004e-05,28.4048,18.9365,42.6071,3.8828499999999996e-05,2.5885599999999998e-05,5.8242700000000004e-05
2020-03-03,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4286,10.2857,23.1429,43.8333,29.2222,65.75,5.99188e-05,3.99459e-05,8.98783e-05,43.8333,29.2222,65.75,5.99188e-05,3.99459e-05,8.98783e-05
2020-03-04,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0571,11.3714,25.5857,60.8905,40.5937,91.3357,8.323540000000001e-05,5.54903e-05,0.000124853,60.8905,40.5937,91.3357,8.323540000000001e-05,5.54903e-05,0.000124853
2020-03-05,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4643,13.6429,30.6964,81.3548,54.2365,122.03200000000001,0.00011121,7.41397e-05,0.00016681400000000002,81.3548,54.2365,122.03200000000001,0.00011121,7.41397e-05,0.00016681400000000002
2020-03-06,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2959,16.8639,37.9439,106.65100000000001,71.1005,159.976,0.000145788,9.719219999999999e-05,0.00021868200000000002,106.65100000000001,71.1005,159.976,0.000145788,9.719219999999999e-05,0.00021868200000000002
2020-03-07,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0612,21.3741,48.0918,138.71200000000002,92.4746,208.06799999999998,0.000189615,0.00012641,0.000284422,138.71200000000002,92.4746,208.06799999999998,0.000189615,0.00012641,0.000284422
2020-03-08,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.551,25.034000000000002,56.3265,176.263,117.509,264.394,0.000240946,0.000160631,0.00036141900000000003,176.263,117.509,264.394,0.000240946,0.000160631,0.00036141900000000003
2020-03-09,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8776,29.2517,65.8163,220.14,146.76,330.211,0.000300925,0.00020061700000000002,0.00045138800000000005,220.14,146.76,330.211,0.000300925,0.00020061700000000002,0.00045138800000000005
2020-03-10,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3878,33.5918,75.5816,270.528,180.352,405.792,0.000369804,0.000246536,0.000554706,270.528,180.352,405.792,0.000369804,0.000246536,0.000554706
2020-03-11,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6531,39.102,87.9796,329.181,219.454,493.772,0.00044998099999999996,0.000299987,0.000674971,329.181,219.454,493.772,0.00044998099999999996,0.000299987,0.000674971
2020-03-12,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4388,43.6259,98.1582,394.62,263.08,591.93,0.000539434,0.00035962300000000005,0.000809151,394.62,263.08,591.93,0.000539434,0.00035962300000000005,0.000809151
2020-03-13,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2959,45.5306,102.444,462.916,308.611,694.3739999999999,0.000632792,0.000421861,0.000949188,462.916,308.611,694.3739999999999,0.000632792,0.000421861,0.000949188
2020-03-14,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2653,47.5102,106.898,534.181,356.121,801.2719999999999,0.00073021,0.00048680699999999996,0.00109531,534.181,356.121,801.2719999999999,0.00073021,0.00048680699999999996,0.00109531
2020-03-15,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0612,49.3741,111.09200000000001,602.6709999999999,401.781,904.007,0.000823833,0.0005492219999999999,0.00123575,608.243,405.495,912.3639999999999,0.000831449,0.0005542990000000001,0.00124717
2020-03-16,AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8163,49.2109,110.72399999999999,666.559,444.37300000000005,999.8380000000001,0.000911166,0.0006074440000000001,0.00136675,682.059,454.70599999999996,1023.09,0.0009323539999999999,0.000621569,0.00139853
2020-03-17,AK,3,337,0.428571,48.1429,0.00890208,0.00890208,13.0,8.66667,19.5,1.1546399999999999,71.9184,47.9456,107.87799999999999,725.572,483.715,1088.36,0.000991836,0.000661224,0.00148775,753.977,502.651,1130.97,0.00103066,0.000687109,0.001546
2020-03-18,AK,8,412,1.14286,58.8571,0.0194175,0.0194175,12.5,8.33333,18.75,1.02798,67.3963,44.9308,101.094,777.54,518.36,1166.31,0.00106287,0.000708583,0.00159431,821.373,547.582,1232.06,0.00112279,0.000748529,0.00168419
2020-03-19,AK,11,438,1.5714299999999999,62.5714,0.0251142,0.0251142,12.0,8.0,18.0,0.921585,61.8688,41.2459,92.8032,822.352,548.235,1233.53,0.00112413,0.00074942,0.0016862000000000001,883.242,588.828,1324.86,0.00120737,0.00080491,0.00181105
2020-03-20,AK,14,698,2.0,99.7143,0.020057299999999997,0.020057299999999997,11.5,7.66667,17.25,0.851475,57.467,38.3113,86.2004,859.3539999999999,572.903,1289.03,0.00117471,0.0007831410000000001,0.00176207,940.709,627.139,1411.06,0.00128592,0.0008572810000000001,0.00192888
2020-03-21,AK,15,772,2.1428599999999998,110.286,0.0194301,0.0194301,11.0,7.33333,16.5,0.817691,54.4446,36.2964,81.6669,888.503,592.335,1332.75,0.00121456,0.000809705,0.00182184,995.154,663.436,1492.73,0.00136035,0.0009068969999999999,0.00204052
2020-03-22,AK,25,968,3.5714300000000003,138.286,0.0258264,0.0258264,10.5,7.0,15.75,0.813959,52.1458,34.7639,78.2187,908.5880000000001,605.725,1362.88,0.00124201,0.000828008,0.00186302,1047.3,698.2,1570.95,0.00143163,0.0009544180000000001,0.00214744
2020-03-23,AK,38,968,5.42857,138.286,0.0392562,0.0392562,10.0,6.66667,15.0,0.840908,51.744,34.496,77.616,922.7810000000001,615.187,1384.17,0.00126141,0.000840942,0.00189212,1099.04,732.696,1648.57,0.00150236,0.00100157,0.00225354
2020-03-24,AK,42,1022,5.57143,97.8571,0.05693430000000001,0.05693430000000001,9.5,6.33333,14.25,0.899868,53.3637,35.5758,80.0455,932.2669999999999,621.511,1398.4,0.00127438,0.000849587,0.00191157,1152.41,768.2719999999999,1728.61,0.00157531,0.0010502,0.00236296
2020-03-25,AK,49,1691,5.85714,182.71400000000003,0.032056299999999996,0.032056299999999996,9.0,6.0,13.5,0.965182,55.2086,36.8057,82.8129,937.0880000000001,624.725,1405.63,0.00128097,0.00085398,0.00192146,1207.62,805.077,1811.42,0.00165077,0.00110052,0.00247616
2020-03-26,AK,63,1860,7.42857,203.143,0.036568199999999995,0.036568199999999995,8.5,5.66667,12.75,1.0228899999999999,57.5364,38.3576,86.3046,935.971,623.981,1403.96,0.00127944,0.000852963,0.00191917,1265.15,843.435,1897.73,0.00172943,0.00115295,0.00259414
2020-03-27,AK,74,2388,8.57143,241.429,0.035503,0.035503,8.0,5.33333,12.0,1.0636700000000001,61.9835,41.3224,92.9753,932.5160000000001,621.677,1398.77,0.00127472,0.000849814,0.00191208,1327.14,884.757,1990.7,0.00181415,0.00120944,0.00272123
2020-03-28,AK,91,2921,10.8571,307.0,0.0353653,0.0353653,7.5,5.0,11.25,1.07493,61.8221,41.2148,92.7332,926.0419999999999,617.361,1389.06,0.00126587,0.000843914,0.00189881,1388.96,925.972,2083.44,0.00189866,0.00126578,0.002848
2020-03-29,AK,110,3334,12.1429,338.0,0.035925599999999995,0.035925599999999995,7.0,4.66667,10.5,1.05321,60.248000000000005,40.1653,90.37200000000001,915.025,610.016,1372.54,0.00125081,0.000833874,0.00187622,1449.21,966.137,2173.81,0.00198102,0.00132068,0.00297153
2020-03-30,AK,118,3654,11.4286,383.714,0.0297841,0.0297841,6.5,4.33333,9.75,1.00635,58.1463,38.7642,87.2194,899.11,599.406,1348.66,0.00122906,0.000819371,0.00184358,1507.35,1004.9,2261.03,0.00206051,0.00137367,0.00309076
2020-03-31,AK,128,3713,12.2857,384.42900000000003,0.0319584,0.0319584,6.0,4.0,9.0,0.9261159999999999,54.1632,36.1088,81.2448,879.457,586.304,1319.18,0.00120219,0.00080146,0.00180329,1561.52,1041.01,2342.27,0.00213454,0.00142303,0.00320182
2020-04-01,AK,141,4603,13.1429,416.0,0.0315934,0.0315934,5.5,3.66667,8.25,0.838108,50.1241,33.416,75.1861,857.6619999999999,571.775,1286.49,0.0011724,0.0007815989999999999,0.0017586,1611.64,1074.43,2417.46,0.00220306,0.00146871,0.00330459
2020-04-02,AK,149,5022,12.2857,451.714,0.027198000000000003,0.027198000000000003,5.0,3.33333,7.5,0.756173,45.0556,30.0371,67.5834,835.322,556.881,1252.98,0.00114186,0.00076124,0.00171279,1656.7,1104.46,2485.04,0.00226465,0.00150977,0.00339698
2020-04-03,AK,160,6016,12.2857,518.286,0.0237045,0.0237045,4.5,3.0,6.75,0.68066,37.7748,25.1832,56.6622,811.2280000000001,540.818,1216.84,0.00110892,0.000739283,0.00166339,1694.47,1129.65,2541.7,0.00231629,0.00154419,0.00347443
2020-04-04,AK,171,6040,11.4286,445.57099999999997,0.0256492,0.0256492,4.3552,2.90347,6.5328,0.618347,33.6502,22.4334,50.4752,787.4110000000001,524.941,1181.12,0.00107637,0.0007175780000000001,0.00161455,1728.12,1152.08,2592.18,0.00236229,0.00157486,0.00354343
