date,total_cases,total_deaths,total_tests,current_hospitalized,daily_positive_7day_ma,daily_deaths_7day_ma,daily_tests_7day_ma,positivity_rate_orig_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-02-12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2857,36.8571,82.9286,55.2857,36.8571,82.9286,1.66586e-07,1.11057e-07,2.49878e-07,55.2857,36.8571,82.9286,1.66586e-07,1.11057e-07,2.49878e-07
2020-02-13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.659,99.773,224.489,204.945,136.63,307.418,6.17536e-07,4.11691e-07,9.263039999999999e-07,204.945,136.63,307.418,6.17536e-07,4.11691e-07,9.263039999999999e-07
2020-02-14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.19099999999997,142.127,319.786,418.13599999999997,278.757,627.2040000000001,1.2599200000000001e-06,8.399450000000001e-07,1.88988e-06,418.13599999999997,278.757,627.2040000000001,1.2599200000000001e-06,8.399450000000001e-07,1.88988e-06
2020-02-15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.842,199.22799999999998,448.26300000000003,716.9780000000001,477.985,1075.47,2.16038e-06,1.44025e-06,3.24057e-06,716.9780000000001,477.985,1075.47,2.16038e-06,1.44025e-06,3.24057e-06
2020-02-16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.658,393.772,885.987,1307.64,871.758,1961.45,3.94014e-06,2.6267599999999997e-06,5.91021e-06,1307.64,871.758,1961.45,3.94014e-06,2.6267599999999997e-06,5.91021e-06
2020-02-17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.9019999999999,465.935,1048.35,2006.54,1337.69,3009.81,6.04605e-06,4.0307e-06,9.06908e-06,2006.54,1337.69,3009.81,6.04605e-06,4.0307e-06,9.06908e-06
2020-02-18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.597,577.731,1299.9,2873.14,1915.42,4309.7,8.657260000000002e-06,5.7715099999999996e-06,1.2985899999999999e-05,2873.14,1915.42,4309.7,8.657260000000002e-06,5.7715099999999996e-06,1.2985899999999999e-05
2020-02-19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.73,719.153,1618.09,3951.87,2634.58,5927.8,1.19077e-05,7.93844e-06,1.7861500000000002e-05,3951.87,2634.58,5927.8,1.19077e-05,7.93844e-06,1.7861500000000002e-05
2020-02-20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.43,904.288,2034.65,5308.3,3538.86,7962.45,1.59948e-05,1.06632e-05,2.39923e-05,5308.3,3538.86,7962.45,1.59948e-05,1.06632e-05,2.39923e-05
2020-02-21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701.51,1134.34,2552.26,7009.81,4673.2,10514.7,2.1121799999999998e-05,1.4081199999999998e-05,3.16827e-05,7009.81,4673.2,10514.7,2.1121799999999998e-05,1.4081199999999998e-05,3.16827e-05
2020-02-22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.48,1441.66,3243.72,9172.29,6114.86,13758.4,2.76377e-05,1.84251e-05,4.14566e-05,9172.29,6114.86,13758.4,2.76377e-05,1.84251e-05,4.14566e-05
2020-02-23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2740.1,1826.74,4110.16,11912.4,7941.6,17868.6,3.58941e-05,2.39294e-05,5.38412e-05,11912.4,7941.6,17868.6,3.58941e-05,2.39294e-05,5.38412e-05
2020-02-24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536.06,2357.37,5304.09,15448.5,10299.0,23172.7,4.6548900000000004e-05,3.1032600000000005e-05,6.98234e-05,15448.5,10299.0,23172.7,4.6548900000000004e-05,3.1032600000000005e-05,6.98234e-05
2020-02-25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4539.77,3026.51,6809.65,19988.2,13325.5,29982.3,6.0228e-05,4.0152e-05,9.034200000000001e-05,19988.2,13325.5,29982.3,6.0228e-05,4.0152e-05,9.034200000000001e-05
2020-02-26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5762.92,3841.95,8644.38,25751.1,17167.4,38626.7,7.75927e-05,5.1728500000000005e-05,0.000116389,25751.1,17167.4,38626.7,7.75927e-05,5.1728500000000005e-05,0.000116389
2020-02-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7257.31,4838.21,10886.0,32953.2,21968.8,49429.7,9.929370000000001e-05,6.61958e-05,0.000148941,33008.4,22005.6,49512.7,9.946030000000001e-05,6.63069e-05,0.00014919
2020-02-28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9184.5,6123.0,13776.8,41988.0,27992.0,62982.0,0.000126517,8.434479999999999e-05,0.00018977599999999998,42193.0,28128.6,63289.4,0.000127135,8.47565e-05,0.000190702
2020-02-29,18,5,42,0.0,2.57143,0.714286,6.0,0.428571,0.428571,116.21600000000001,77.4776,174.325,3.23106,11392.7,7595.1,17089.0,53167.5,35445.0,79751.2,0.00016020299999999998,0.00010680200000000001,0.00024030400000000002,53585.6,35723.7,80378.4,0.00016146299999999998,0.00010764200000000001,0.00024219400000000002
2020-03-01,50,8,131,0.0,7.142860000000001,1.14286,18.7143,0.381679,0.381679,82.6921,55.1281,124.038,3.1803,14221.0,9480.66,21331.5,67089.6,44726.4,100634.0,0.000202153,0.000134769,0.000303229,67806.6,45204.4,101710.0,0.000204313,0.00013620899999999998,0.00030647
2020-03-02,94,11,336,0.0,13.4286,1.5714299999999999,48.0,0.28313299999999997,0.279762,52.0459,34.6973,78.0688,3.1392599999999997,17827.9,11885.2,26741.8,84326.8,56217.9,126490.0,0.00025409200000000003,0.000169394,0.000381137,85634.5,57089.6,128452.0,0.000258032,0.00017202099999999998,0.000387048
2020-03-03,145,14,606,0.0,20.7143,2.0,86.5714,0.241265,0.239274,41.8357,27.8905,62.7536,3.1021799999999997,22313.6,14875.7,33470.4,105942.0,70627.7,158912.0,0.000319221,0.00021281400000000003,0.000478831,107948.0,71965.4,161922.0,0.000325267,0.00021684400000000003,0.00048789999999999993
2020-03-04,279,16,1614,0.0,39.8571,2.28571,230.828,0.17361500000000002,0.172671,27.0649,18.0433,40.5974,3.0744599999999997,27843.8,18562.5,41765.7,132919.0,88612.5,199378.0,0.00040050800000000005,0.000267005,0.000600761,135792.0,90527.9,203688.0,0.000409165,0.000272777,0.000613747
2020-03-05,367,20,2174,0.0,52.4286,2.8571400000000002,310.935,0.170302,0.16861600000000002,25.872,17.248,38.808,3.0432099999999997,34961.2,23307.5,52441.8,166801.0,111201.0,250202.0,0.000502602,0.00033506800000000005,0.000753902,170753.0,113835.0,256130.0,0.000514509,0.000343006,0.000771764
2020-03-06,497,26,3011,0.0,71.0,3.71429,430.778,0.16633199999999998,0.16481800000000002,23.9649,15.9766,35.9474,3.0003599999999997,43976.2,29317.5,65964.3,209421.0,139614.0,314131.0,0.000631022,0.00042068199999999997,0.000946534,214729.0,143153.0,322094.0,0.000647017,0.000431345,0.0009705260000000001
2020-03-07,631,27,3868,0.0,87.5714,3.1428599999999998,547.362,0.161741,0.15998800000000002,24.6939,16.4626,37.0409,2.93752,53979.1,35986.1,80968.7,261699.0,174466.0,392548.0,0.000788544,0.000525696,0.00118282,268708.0,179139.0,403063.0,0.000809666,0.000539777,0.0012144999999999999
2020-03-08,827,31,11487,0.0,111.0,3.28571,1623.49,0.068755,0.0683714,24.6856,16.4571,37.0284,2.85485,65016.8,43344.5,97525.2,324553.0,216369.0,486829.0,0.000977935,0.000651957,0.0014669000000000001,333725.0,222483.0,500588.0,0.00100557,0.000670382,0.00150836
2020-03-09,1112,35,13574,0.0,145.429,3.4285699999999997,1893.19,0.0768998,0.07681669999999999,24.3147,16.2098,36.4721,2.74472,77785.7,51857.1,116679.0,399599.0,266399.0,599398.0,0.00120406,0.0008027069999999999,0.00180609,411511.0,274341.0,617266.0,0.00123995,0.000826637,0.00185993
2020-03-10,1551,37,16640,0.0,200.857,3.28571,2293.51,0.0876887,0.0875761,22.601999999999997,15.068,33.9029,2.61001,92114.2,61409.4,138171.0,488177.0,325451.0,732265.0,0.00147096,0.000980641,0.00220644,503625.0,335750.0,755438.0,0.00151751,0.00101167,0.00227627
2020-03-11,2053,43,20962,0.0,253.429,3.5714300000000003,2767.98,0.092022,0.0915571,22.7398,15.1599,34.1097,2.46677,107868.0,71911.8,161801.0,591505.0,394336.0,887257.0,0.00178231,0.0011882,0.00267346,611493.0,407662.0,917239.0,0.00184254,0.00122836,0.0027638000000000003
2020-03-12,2796,51,28268,0.0,347.0,3.5714300000000003,3734.47,0.0937983,0.0929181,20.9144,13.943,31.3717,2.32459,124036.0,82690.4,186053.0,709777.0,473185.0,1064670.0,0.00213868,0.00142579,0.00320803,735528.0,490352.0,1103290.0,0.00221628,0.00147752,0.00332441
2020-03-13,3745,56,37239,0.0,464.0,3.1428599999999998,4899.94,0.0958253,0.0946951,19.7942,13.1961,29.6913,2.18456,139749.0,93166.2,209624.0,842269.0,561513.0,1263400.0,0.00253791,0.00169194,0.00380686,875278.0,583518.0,1312920.0,0.00263737,0.00175824,0.00395605
2020-03-14,4727,64,45741,0.0,585.143,3.5714300000000003,5998.66,0.09906160000000001,0.0975456,19.4699,12.9799,29.2048,2.05531,157523.0,105016.0,236285.0,990608.0,660405.0,1485910.0,0.00298488,0.00198992,0.00447731,1032800.0,688534.0,1549200.0,0.00311201,0.00207467,0.00466802
2020-03-15,5915,79,54846,0.0,726.857,4.14286,6216.37,0.11928299999999999,0.116926,19.565,13.0434,29.3476,1.94261,176721.0,117814.0,265082.0,1155940.0,770624.0,1733900.0,0.00348304,0.00232203,0.00522456,1209520.0,806348.0,1814280.0,0.0036445,0.00242967,0.00546676
2020-03-16,7772,100,79057,0.0,951.429,5.28571,9391.74,0.10329400000000001,0.10130499999999999,18.738,12.492,28.107,1.8401,195610.0,130407.0,293415.0,1337330.0,891550.0,2005990.0,0.0040296,0.0026864000000000002,0.006044399999999999,1405130.0,936755.0,2107700.0,0.00423391,0.00282261,0.00635087
