,Date,State,deathsRunning,hospRunning,icuRunning,casesRunning,testsRunning,Deaths,Hosp,ICU,Cases,Tests,moving,7sum_posCases
1,11-Apr-21,AK,313,50,0,62161,1966048,0,50,0,0.0,0,177.57142857142858,1243.0
2,11-Apr-21,AL,10712,301,0,518899,2439300,0,301,0,311.0,2882,177.57142857142858,2090.0
3,11-Apr-21,AR,5661,163,55,332053,3437770,0,163,55,0.0,0,170.71428571428572,999.0
4,11-Apr-21,AZ,17086,532,149,849561,8789989,-6,532,149,540.0,28048,194.57142857142858,5259.0
5,11-Apr-21,CA,59218,2123,469,3600178,56363675,105,2123,469,4954.0,284815,163.85714285714286,19827.0
6,11-Apr-21,CO,6157,465,0,448626,7288404,2,465,0,1119.0,19275,241.57142857142858,10733.0
7,11-Apr-21,CT,7944,531,0,321586,8002182,0,531,0,0.0,0,172.57142857142858,7630.0
8,11-Apr-21,DC,1081,128,52,45830,1427121,0,128,52,68.0,3646,172.57142857142858,793.0
9,11-Apr-21,DE,1578,129,21,98570,1629867,1,129,21,367.0,9278,172.57142857142858,2194.0
10,11-Apr-21,FL,34685,3102,0,2084173,25203833,9,3102,0,5389.0,70444,170.71428571428572,41292.0
11,11-Apr-21,GA,19488,1425,0,1073792,9762610,0,1425,0,1092.0,21481,135.71428571428572,9238.0
12,11-Apr-21,HI,471,51,9,30776,1334028,0,51,9,92.0,5825,166.85714285714286,737.0
13,11-Apr-21,IA,5857,212,54,356945,4582829,0,212,54,435.0,7009,102.42857142857143,3667.0
14,11-Apr-21,ID,1993,159,43,183453,1337272,4,159,43,612.0,4441,152.14285714285714,2272.0
15,11-Apr-21,IL,23793,1834,409,1279772,21172007,16,1834,409,2942.0,69600,152.14285714285714,23138.0
16,11-Apr-21,IN,13148,825,172,698692,9212718,10,825,172,1159.0,25469,152.14285714285714,7782.0
17,11-Apr-21,KS,4938,130,40,304236,2735230,0,130,40,0.0,0,135.42857142857142,1363.0
18,11-Apr-21,KY,6250,379,92,433085,5057145,9,379,92,365.0,0,136.42857142857142,3979.0
19,11-Apr-21,LA,10216,297,0,448838,6671092,0,297,0,0.0,0,129.57142857142858,3369.0
20,11-Apr-21,MA,17387,698,172,659569,20517108,8,698,172,1991.0,88385,119.42857142857143,16337.0
21,11-Apr-21,MD,8455,1240,279,426730,9124764,11,1240,279,1483.0,34510,123.0,9401.0
22,11-Apr-21,ME,750,75,29,53960,2148893,0,75,29,215.0,0,123.0,2197.0
23,11-Apr-21,MI,17563,3824,735,820404,11938983,0,3824,735,0.0,0,123.0,51512.0
24,11-Apr-21,MN,6957,595,134,542053,8602029,13,595,134,1776.0,34505,129.0,15786.0
25,11-Apr-21,MO,8515,807,119,493530,5037745,0,807,119,281.0,10418,139.85714285714286,2603.0
26,11-Apr-21,MS,7096,205,56,188360,1726829,1,205,56,72.0,0,148.85714285714286,636.0
27,11-Apr-21,MT,1523,48,9,106183,1239195,0,48,9,41.0,1532,134.42857142857142,1041.0
28,11-Apr-21,NC,12248,977,243,929406,11641898,0,977,243,0.0,0,128.28571428571428,13247.0
29,11-Apr-21,ND,1499,35,3,104745,1663740,0,35,3,44.0,1761,128.28571428571428,1107.0
30,11-Apr-21,NE,2220,168,0,214207,2700337,0,168,0,197.0,4617,128.28571428571428,2395.0
31,11-Apr-21,NH,1257,107,0,88854,2001683,4,107,0,876.0,18603,133.14285714285714,3008.0
32,11-Apr-21,NJ,24870,2296,455,837052,12578312,11,2296,455,2870.0,0,120.57142857142857,22045.0
33,11-Apr-21,NM,3976,106,0,193368,3079551,0,106,0,0.0,0,112.57142857142857,1216.0
