pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2021-04-01,97.1,-1.95,5.59,"Iglesias, Raisel",641470,628452,field_out,hit_into_play,,,,,5,Zack Collins flies out sharply to right fielder Dexter Fowler.,R,L,R,LAA,CWS,X,9,fly_ball,0,0,2021,-0.66,1.27,0.26,2.36,,,,2,9,Top,154.01,75.1,,,545358,,,7.344848477271649,-141.2114743934456,-5.987356445276807,-10.40298941510128,29.982859848214716,-13.983660356498339,3.49,1.6,315,100.8,44,96.6,2353,5.9,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.61,0.069,0.11699999999999999,0.0,1,0,0,3,69,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,225,0.035,
SL,2021-04-01,87.2,-2.18,5.33,"Iglesias, Raisel",673357,628452,strikeout,swinging_strike_blocked,,,,,14,Luis Robert strikes out swinging.,R,R,R,LAA,CWS,S,2,,0,2,2021,0.83,0.06,2.17,0.77,,,,1,9,Top,,,,,545358,,,8.683240562534289,-126.6181992704072,-4.8385106285696775,6.963650950261812,28.085493701277464,-30.621140000772254,3.47,1.59,,,,86.4,2489,6.1,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.43,,,0.0,1,0,0,,68,3,Slider,4,3,3,4,3,4,3,4,Standard,Standard,51,0.052000000000000005,
SL,2021-04-01,85.5,-2.91,5.06,"Iglesias, Raisel",673357,628452,,swinging_strike,,,,,9,Luis Robert strikes out swinging.,R,R,R,LAA,CWS,S,,,0,1,2021,0.86,0.23,0.41,1.66,,,,1,9,Top,,,,,545358,,,6.056632686457889,-124.33347073327795,-2.118232045393642,7.4892886573538515,27.75941468797307,-29.520926451840822,3.47,1.59,,,,84.6,2515,6.0,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.51,,,,,,,,68,2,Slider,4,3,3,4,3,4,3,4,Standard,Standard,60,0.0,
SL,2021-04-01,84.4,-2.0,5.64,"Iglesias, Raisel",673357,628452,,swinging_strike,,,,,14,Luis Robert strikes out swinging.,R,R,R,LAA,CWS,S,,,0,0,2021,1.37,0.22,1.37,1.95,,,,1,9,Top,,,,,545358,,,5.060359414960032,-122.73686690278042,-2.5453651874677705,12.614706977326012,27.24295033746134,-29.657849949035977,3.47,1.59,,,,83.2,2554,5.8,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.68,,,,,,,,68,1,Slider,4,3,3,4,3,4,3,4,Standard,Standard,63,0.0,
CH,2021-04-01,90.4,-2.18,5.4,"Iglesias, Raisel",544725,628452,strikeout,swinging_strike,,,,,7,Leury Garcia strikes out swinging.,R,L,R,LAA,CWS,S,2,,1,2,2021,-1.46,0.29,-0.72,1.49,,,,0,9,Top,,,,,545358,,,6.724356867581839,-131.38166864794928,-4.319649951686294,-18.313056394881123,30.749002945844225,-28.066149811020047,3.26,1.48,,,,89.7,1893,6.2,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.31,,,0.0,1,0,0,,67,4,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,250,0.071,
FF,2021-04-01,95.8,-2.09,5.59,"Iglesias, Raisel",544725,628452,,swinging_strike,,,,,4,Leury Garcia strikes out swinging.,R,L,R,LAA,CWS,S,,,1,1,2021,-0.6,1.35,-0.56,2.48,,,,0,9,Top,,,,,545358,,,5.375834062752318,-139.2661856215768,-5.558868751907567,-9.082732432396128,33.2810201806772,-13.57589245628944,3.26,1.48,,,,94.8,2259,5.9,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.6,,,,,,,,67,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,232,0.0,
FF,2021-04-01,95.1,-2.13,5.55,"Iglesias, Raisel",544725,628452,,swinging_strike,,,,,4,Leury Garcia strikes out swinging.,R,L,R,LAA,CWS,S,,,1,0,2021,-0.57,1.26,-0.56,2.31,,,,0,9,Top,,,,,545358,,,5.344220679648299,-138.2804966562455,-5.5803995193440485,-8.486661309097887,32.92052531151936,-14.973963004190773,3.26,1.48,,,,94.1,2290,5.9,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.63,,,,,,,,67,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Strategic,Standard,225,0.0,
CH,2021-04-01,88.8,-2.27,5.52,"Iglesias, Raisel",544725,628452,,ball,,,,,3,Leury Garcia strikes out swinging.,R,L,R,LAA,CWS,B,,,0,0,2021,-1.11,0.25,0.8,2.77,,,,0,9,Top,,,,,545358,,,9.75661492065799,-128.84808334816546,-1.1104569637757973,-14.497691747310462,28.901130579327003,-29.43387139181311,3.26,1.57,,,,87.8,3356,6.0,634655,628452,545358,405395,664058,543685,578428,457708,545361,451594,54.53,,,,,,,,67,1,Changeup,4,3,3,4,3,4,3,4,Strategic,Standard,309,0.0,
CH,2021-04-01,85.8,-1.3,6.18,"Foster, Matt",578428,641582,field_out,hit_into_play,,,,,14,"Jose Iglesias grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",R,R,R,LAA,CWS,X,5,ground_ball,2,2,2021,-1.11,0.98,0.68,1.33,545361,457708,,2,8,Bot,96.26,167.55,,,518735,,,6.893296313604384,-124.63652750828943,-7.131120328219522,-12.978908288255338,25.126741425056462,-20.688896731572115,3.32,1.51,9,83.4,-9,85.2,1836,6.0,634655,641582,518735,547989,663611,660162,641313,544725,673357,594809,54.48,0.114,0.10300000000000001,0.0,1,0,0,2,66,5,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,215,-0.032,
CH,2021-04-01,84.1,-1.32,6.19,"Foster, Matt",578428,641582,,swinging_strike,,,,,13,"Jose Iglesias grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",R,R,R,LAA,CWS,S,,,2,1,2021,-1.05,0.86,-0.86,1.24,545361,457708,,2,8,Bot,,,,,518735,,,3.1380410273279367,-122.30775036335513,-6.762137151369238,-11.159826982439515,24.277328281011137,-22.380880528872446,3.32,1.51,,,,83.6,1782,6.0,634655,641582,518735,547989,663611,660162,641313,544725,673357,594809,54.51,,,,,,,,66,4,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,216,0.0,
